hash,fold,dice_score,iou_score,elapsed_time,dataset_version,model_path,seed,batch_size,delta,dropout,gamma,lr,n_convs,num_epochs,num_filters,patience,step_size
3dec7b1394,1,0.9938656687736511,0.9891284108161926,00:25:16,v0,Models/crossval/3dec7b1394/model_3dec7b1394_s42_fold1.pth,42,32,0.0,0.0,0.1,0.001,3,100,"[8, 16]",30,10
3dec7b1394,2,0.9953899383544922,0.9910719394683838,00:36:36,v0,Models/crossval/3dec7b1394/model_3dec7b1394_s42_fold2.pth,42,32,0.0,0.0,0.1,0.001,3,100,"[8, 16]",30,10
3dec7b1394,3,0.9965633749961853,0.9932578802108765,00:36:38,v0,Models/crossval/3dec7b1394/model_3dec7b1394_s42_fold3.pth,42,32,0.0,0.0,0.1,0.001,3,100,"[8, 16]",30,10
3dec7b1394,4,0.9947832822799683,0.9910532236099243,00:28:59,v0,Models/crossval/3dec7b1394/model_3dec7b1394_s42_fold4.pth,42,32,0.0,0.0,0.1,0.001,3,100,"[8, 16]",30,10
3dec7b1394,5,0.9967358708381653,0.993579089641571,00:28:56,v0,Models/crossval/3dec7b1394/model_3dec7b1394_s42_fold5.pth,42,32,0.0,0.0,0.1,0.001,3,100,"[8, 16]",30,10
bca4415f02,1,0.9968003630638123,0.9948832988739014,00:33:35,v0,Models/crossval/bca4415f02/model_bca4415f02_s42_fold1.pth,42,32,0.0,0.0,0.1,0.001,2,100,"[16, 32]",30,10
bca4415f02,2,0.9980103969573975,0.9960887432098389,00:36:20,v0,Models/crossval/bca4415f02/model_bca4415f02_s42_fold2.pth,42,32,0.0,0.0,0.1,0.001,2,100,"[16, 32]",30,10
bca4415f02,3,0.9979866743087769,0.9959840774536133,00:39:33,v0,Models/crossval/bca4415f02/model_bca4415f02_s42_fold3.pth,42,32,0.0,0.0,0.1,0.001,2,100,"[16, 32]",30,10
bca4415f02,4,0.9973022937774658,0.9959353804588318,00:29:15,v0,Models/crossval/bca4415f02/model_bca4415f02_s42_fold4.pth,42,32,0.0,0.0,0.1,0.001,2,100,"[16, 32]",30,10
bca4415f02,5,0.9975069761276245,0.995090663433075,00:39:32,v0,Models/crossval/bca4415f02/model_bca4415f02_s42_fold5.pth,42,32,0.0,0.0,0.1,0.001,2,100,"[16, 32]",30,10
0769977b56,1,0.9968686103820801,0.9949319362640381,00:32:44,v0,Models/crossval/0769977b56/model_0769977b56_s42_fold1.pth,42,32,0.0,0.0,0.1,0.001,3,100,"[16, 32]",30,10
0769977b56,2,0.9966379404067993,0.9934277534484863,00:16:51,v0,Models/crossval/0769977b56/model_0769977b56_s42_fold2.pth,42,32,0.0,0.0,0.1,0.001,3,100,"[16, 32]",30,10
0769977b56,3,0.9975848197937012,0.9952802062034607,00:35:42,v0,Models/crossval/0769977b56/model_0769977b56_s42_fold3.pth,42,32,0.0,0.0,0.1,0.001,3,100,"[16, 32]",30,10
0769977b56,4,0.996997058391571,0.9954513907432556,00:45:09,v0,Models/crossval/0769977b56/model_0769977b56_s42_fold4.pth,42,32,0.0,0.0,0.1,0.001,3,100,"[16, 32]",30,10
0769977b56,5,0.9980700612068176,0.9961702823638916,00:37:56,v0,Models/crossval/0769977b56/model_0769977b56_s42_fold5.pth,42,32,0.0,0.0,0.1,0.001,3,100,"[16, 32]",30,10
